BreedName,Group1,Temperment,AvgPupPrice,PopularityUS2017
Affenpinscher,Toy,"Active, Adventurous, Curious, Fun-loving, Playful, Stubborn",1000,147.0
Afghan Hound,Sporting,"Aloof, Clownish, Dignified, Happy, Independent",2250,93.0
Airedale Terrier,Terrier,"Alert, Confident, Courageous, Friendly, Intelligent, Outgoing",700,55.0
Akbash,Working,"Affectionate, Alert, Courageous, Independent, Intelligent, Loyal",600,
Akita,Working,"Alert, Courageous, Dignified, Docile, Friendly, Intelligent, Responsive",1000,47.0
Alaskan Malamute,Working,"Affectionate, Devoted, Dignified, Friendly, Loyal, Playful",1350,59.0
American Bulldog,Working,"Affectionate, Alert, Courageous, Energetic, Gentle, Loving, Out-going, Social",800,
American Eskimo Dog,Non Sporting,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",700,118.0
American Hairless Terrier,Terrier,"Alert, Lively, Loving, Intelligent, Inquisitive, Playful",400,126.0
American Staffordshire Terrier,Terrier,"Attentive, Courageous, Devoted, Friendly, Loyal, Tenacious, Intelligent",900,83.0
American Water Spaniel,Sporting,"Energetic, Friendly, Intelligent, Obedient, Protective, Trainable",900,167.0
Anatolian Shepherd,Working,"Bold, Confident, Independent, Intelligent, Proud, Steady",800,86.0
Appenzell Mountain Dog,Working,"Energetic, Fearless, Lively, Reliable, Self-assured, Social",700,
Australian Cattle Dog/Blue Heeler,Herding,"Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive",600,56.0
Australian Kelpie,Working,"Alert, Eager, Energetic, Friendly, Intelligent, Loyal, Robust",600,
Australian Shepherd,Terrier,"Active, Affectionate, Friendly, Good-natured, Intelligent, Protective, Loving",700,17.0
Australian Terrier,Terrier,"Alert, Compassionate, Courageous, Even Tempered, Loyal, Spirited, Intelligent",1250,137.0
Basenji,Hound,"Affectionate, Alert, Curious, Energetic, Playful, Intelligent",1100,84.0
Basset Hound,Hound,"Affectionate, Devoted, Friendly, Gentle, Sweet-tempered, Tenacious",400,39.0
Beagle,Hound,"Friendly, Gentle, Independent, Intelligent, Lively, Loving, Sweet",650,6.0
Bearded Collie,Herding,"Active, Alert, Hardy, Intelligent, Lively, Self-confident",1300,125.0
Beauceron,Herding,"Courageous, Obedient, Loyal, Protective, Loving",1350,141.0
